,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_Swift,pr_points1,pr_points2,pr_points3
0,18.37980306858757,0.15563440232831632,10.770286422619137,2.1681762263984017,3.4778934060517708,3.5024790305268834,5.039391476819404,1,9.103,6.588,10.947
0,4.272603743044943,1.3585894192469992,6.308437641782466,2.184188448430127,0.42911396450644607,0.4501713362416114,0.5106328852367913,1,18.562,12.36,20.595
0,4.715316093635297,0.18931620719634867,6.221518509688245,0.6607398951259696,7.713684622673038,7.726197969515204,6.542462813729785,1,9.241,7.153,9.187
0,0.7905008316708128,1.109601354788524,1.3830201564432851,-0.08154096905901394,0.6703249134523599,0.8311911684915402,1.7577632824255907,1,5.286,4.15,6.182
0,-0.2822252486058143,0.3138102394255863,9.089849868797533,0.4514372785684165,2.434973434688254,2.41543152363598,3.22081476330678,1,1.811,2.087,1.763
0,5.898720261559513,0.34363267081915655,5.98973415743699,0.3187645817341205,1.0670534479028755,1.0905059363567366,1.5958224696562993,1,12.139,11.631,14.628
0,1.2246994832113522,-0.5701617122932418,3.121402798327702,1.6752285338502846,4.082825075381916,4.15733525764246,4.254816159781972,1,8.869,7.16,9.629
0,4.493959918340121,0.3126407323121129,3.7877828110500618,1.3080911572657241,0.8848757048831987,0.9100228579225598,1.9755457547705007,1,17.33,13.982,14.054
0,-0.060869073310637324,-0.2557397248359329,1.0643166720978086,-0.8672835787586807,1.1114870437613333,1.0801333456421283,0.9638810221255564,1,6.332,6.027,6.844
0,2.8593297007757363,0.5964216333964202,3.4111332386417716,1.5985986141270274,3.9400028029797314,3.8807328385862507,3.734558031402466,1,5.893,4.828,6.641
0,-0.060869073310637324,-0.0699050445050183,0.5428018795324836,0.09116228285459547,1.3368288513292266,1.3263094986021553,0.8019402093562644,1,3.91,3.637,4.218
0,0.07535011148639469,-0.2777264585692317,0.4269097034068558,1.354984093215777,1.1146608720369375,1.0732182851657233,1.2095843242582753,1,1.848,1.791,1.845
0,0.6798227440232243,-0.4713968365604177,0.5717749235638905,0.5841099754027125,1.479651123731412,1.4639192020826195,1.645149268948095,1,6.769,5.404,4.44
0,-0.2992526467054433,0.7415574661784623,-0.007685957064248408,-0.43380985375697223,0.3199342718256643,0.3049550662371014,-0.05988273676077167,1,1.503,1.524,1.473
0,-0.23114305430692733,0.5317478900213441,-0.15255117722128314,-0.2965622363421833,0.4754518573302663,0.452245854384533,0.6511677285020961,1,2.901,3.071,2.731
0,-0.4014170353032173,-0.40327304720059537,-0.12357813318987619,-0.9736504822551421,0.45386982505615836,0.5338435680061148,0.7879797944623599,1,1.987,1.768,2.04
0,-0.26519785050618533,-0.6218539267087636,-0.18152422125269008,0.45944338958427916,0.07237566632854234,0.09888626404022523,0.19885028593959092,1,2.531,2.56,2.82
0,1.1310487936633928,-0.403857800757332,1.9045349490086103,2.099552417691007,2.4241824185512,2.462453934875536,2.1495855937811768,1,5.874,4.473,6.849
0,0.8671241231191432,-0.3644454110332803,1.0643166720978086,1.6626475022539289,1.7329226201246215,1.737064090900626,1.6516641292319172,1,4.319,3.835,4.425
0,1.4290282604069002,-0.5588174932925503,2.2232384333540867,2.093833766965391,1.7449831675719172,1.7107868610902868,1.3287131980195936,1,9.8,9.411,9.891
0,1.0629392012648768,2.2699278374211036,1.9045349490086103,-0.34345517229223615,2.1023562314049418,2.1077113324359473,1.8806149334919506,1,6.63,5.945,7.194
0,0.2711651896321282,-0.5058388210522078,0.25307143921841413,-1.1829530988126953,-0.900085317316562,-0.8920419022286455,-0.8928541587637391,1,6.057,5.926,5.431
0,2.2122885729898343,0.9313684706951862,0.4269097034068558,1.2108740949302486,0.7477663233771005,0.7820942391090628,0.7637817419795923,1,5.505,5.307,6.364
0,1.8547132128976254,0.18703566832507565,3.208321930421923,2.377478842955955,1.4371218248383166,1.3982261275567693,0.6930489731838095,1,3.934,3.721,2.781
0,-0.22262935525711283,-0.5406901330337134,-0.007685957064248408,2.216212892493578,-0.14725325034326328,-0.16596055220609543,-0.3567742268378071,1,2.391,2.489,2.504
0,0.1349460048350962,-0.6146614579609025,0.86150536387796,2.072102894208049,1.33175072608826,1.2979577506488935,1.0225147646799553,1,2.718,2.572,2.64
0,0.8075282297704418,0.07388585509652949,1.469939288537506,1.4350452033744039,0.10220965211922123,0.07744957656336889,0.3924347058017332,1,2.806,2.717,2.992
0,1.3524049689585698,-0.5432045733276811,0.19512535115560023,1.8879623408432074,0.6525514751089768,0.6175157997706181,0.17930570508812474,1,6.808,6.039,8.279
0,1.4971378528054162,1.6086300401076004,1.469939288537506,-0.5047211227546132,2.533362111231982,2.5322960456872288,2.305942240592907,1,6.05,5.128,5.205
0,3.0636584779712845,1.1431077335895352,0.021287086967158537,-0.5813510424778704,0.17203387418251193,0.16457933856607512,0.09088974409339662,1,10.965,8.225,11.147
0,1.2161857841615378,-0.073822893335154,1.2381549362862503,1.4533448856963758,-0.19168684620172097,-0.16665205825373589,0.03690947317029905,1,4.417,3.58,3.465
0,-0.06938277236045183,0.9923582666628211,2.3391306094797146,-0.0861158896395069,2.497815234545216,2.4403257413510393,1.888060488102033,1,2.678,2.98,2.564
0,0.11791860673546718,-0.4867758551025922,0.6297210116267045,1.1948618728985232,0.3345338818934431,0.3056465722847418,0.7814649341785381,1,3.549,3.047,3.628
0,0.4073843744291602,0.6365942027442295,-0.23947030931550398,-0.5802073123327471,-0.8556517214581043,-0.8533175635607761,-0.9012304077000817,1,9.799,9.324,11.325
0,-0.23114305430692733,0.08411904233942126,-0.21049726528409704,0.7396572751394732,-0.25389388040356176,-0.2717609774950956,-0.3102395105247921,1,2.981,2.806,2.526
0,-0.07789647141026633,0.4630393471047851,0.311017527281228,1.1674123494155655,1.2942995524361312,1.2474778091711352,1.1528119703563973,1,2.112,2.128,2.33
0,-0.3673622391039593,-0.5123295855319848,-0.4133085735039457,0.2718716457840676,-0.7014036672637438,-0.7115588237944687,-0.7169529311005426,1,1.676,1.766,1.736
0,0.3392747820306442,-0.4025128675768377,0.4269097034068558,1.7690144057503903,-0.5973020998239283,-0.5919282775526582,-0.5605962842888125,1,2.172,1.984,2.271
0,-0.17154716095822584,0.2053384546509335,0.22409839518700717,-1.6633197597644565,-0.2158079410963125,-0.23511115697014787,0.017364892318832866,1,6.045,5.928,6.95
0,4.315172238294016,0.054998315213934966,4.743893264086491,0.9237978285043151,0.6417604589719226,0.6396439932951149,1.2067922412794945,1,21.421,13.258,27.141
0,-0.26519785050618533,1.503608301317694,0.311017527281228,2.2631058284436305,0.6569948346948223,0.6216648360564612,0.4668902519025571,1,2.167,1.961,2.321
0,0.5265761611265632,-0.4403464226977004,0.6007479675952975,0.13004910778878567,1.5977175355838855,1.5482829398947633,0.8131085412713881,1,4.282,3.751,3.884
0,0.3307610829808297,2.0684802371253195,0.05026013099856549,-0.36404231490445454,0.8702760948154199,0.832574180586821,1.033683096595079,1,6.002,4.692,5.638
0,0.03278161623732218,-0.40906210741228843,0.9484244959721808,1.3252471094425728,1.18575462541047,1.1541244927396646,0.5934646802739578,1,5.163,4.937,5.488
0,0.8756378221689578,-0.533906991775568,0.6007479675952975,1.7083967080588585,0.9527956299811271,0.943215148209305,0.9126928341812401,1,8.428,7.759,8.128
0,0.1349460048350962,0.7386921737504526,0.4848557914696697,1.2623419514607945,-0.46780990617928003,-0.4792127917872528,-0.22740771548762553,1,3.735,3.814,3.72
0,0.6798227440232243,1.718680659485442,0.4269097034068558,0.937522590245794,-0.5204954555543085,-0.529692733265011,-0.37818019634179406,1,3.953,3.324,3.862
0,-0.18857455905785483,1.1256820775987824,-0.15255117722128314,-1.2321334950529945,-0.25262434909332027,-0.2689949533045335,-0.48707143251424895,1,3.253,2.669,3.318
0,-0.23965675335674183,-0.596651048413413,-0.0656320451270623,1.5173937738232772,0.14093035708159152,0.12032295151708156,0.06389960863184804,1,2.801,2.545,2.916
0,1.1480761917630218,2.271740573446987,3.4401062826731783,0.14949252025588078,0.3599245080982761,0.46261844509914063,1.0671880923404498,1,8.292,8.207,7.956
0,-0.018300578061564824,-0.24679299541786176,0.19512535115560023,-0.58478223291324,-0.7534544509836514,-0.7627302713198675,-0.7067152935116794,1,3.269,2.95,3.569
0,0.8756378221689578,-0.4923894892472643,1.4989123325689129,1.4384763938097735,2.2908816309758264,2.237022963344725,1.9560011739190344,1,9.044,7.657,8.38
0,-0.15451976285859684,1.0721771271573768,0.05026013099856549,-0.3960667589679053,0.66270772559091,0.6382609811998338,0.7488906327594275,1,2.433,2.369,2.181
0,-0.07789647141026633,-0.20375513364204267,0.7745862317837392,-1.6873380928120445,2.692688290667309,2.6788953277870196,1.7382187015741246,1,4.939,5.105,4.802
0,-0.32479374385488685,1.2335691088166985,-0.15255117722128314,-0.982800323416128,-0.22532942592312466,-0.2157489876362132,-0.37166533605797186,1,1.605,1.655,1.613
0,1.5141652509050454,-0.1820607766871121,0.4848557914696697,0.4217002947952122,0.5002077178799785,0.46815049348026483,1.1453664157463148,1,4.663,3.903,4.833
0,-0.20560195715748383,0.769216309412107,0.19512535115560023,-1.0903109570577127,1.6351687092360143,1.7674903569968095,2.2705758561950153,1,1.726,1.507,1.938
0,-0.07789647141026633,1.102584312107684,0.28204448324982107,-0.5344581065278174,1.0403932903878008,1.0075252106398735,0.8782571441096092,1,3.035,2.836,3.305
0,0.3903569763295312,2.2665362667920306,1.1512358041920294,1.7369899616869395,2.9370730678888273,2.9368270835569352,2.852259810107702,1,5.135,5.496,4.342
0,-0.4014170353032173,-0.6102758062853775,-0.47125466156675955,-0.13758374617005276,-0.722350933882731,-0.7323040052236844,-0.8509729140820255,1,1.75,1.9,1.6
0,-0.3503348410043303,0.8541810012059454,-0.4422816175353526,-0.7254610407633988,-0.6080931159609825,-0.6161309892200765,-0.5680418388988949,1,1.77,1.87,1.731
0,0.7905008316708128,-0.4025128675768377,1.6437775527259475,2.180757257994757,2.109973419266392,2.0848916328638096,1.820119802285031,1,4.039,3.968,4.375
0,-0.17154716095822584,1.7445852420488768,-0.0656320451270623,2.0343597994189824,-0.438610686043722,-0.44671200754814805,-0.5941012800341833,1,2.108,1.977,2.472
0,0.24562409248268469,-0.6030248621818427,0.05026013099856549,1.9154118643261653,0.8417116403349828,0.8512448438731153,0.4808506667964617,1,7.876,7.871,8.409
0,-0.14600606380878234,-0.35345204416663084,0.10820621906137938,-0.8993080228221314,0.1117311369460334,0.09058819146853893,0.08623627246209481,1,4.131,4.184,3.816
0,-0.25668415145637086,0.16253449429780906,0.33999057131263494,-0.333161600986127,-0.5522337383103498,-0.5649595416946777,-0.3418831176176423,1,2.371,2.233,2.037
0,-0.21411565620729833,-0.24609129114977776,-0.23947030931550398,1.0884949694020618,-0.3319700559834234,-0.3326135096874618,-0.4228535240022882,1,2.201,2.06,2.162
0,0.7053638411726678,-0.5482919292712902,0.28204448324982107,-0.2553879511177466,0.8106081232340621,0.7903923116807491,0.375682207929048,1,3.81,3.341,4.258
0,-0.34182114195451585,0.5809256641428984,-0.4422816175353526,0.14377386953026458,-0.5204954555543085,-0.5234691788362462,-0.5745566991827169,1,1.683,1.594,1.826
0,1.4801104547057873,-0.4863665276128765,2.107346257228459,1.6981031367527493,4.368469620186287,4.2949449611229245,3.4618645938081976,1,6.737,4.443,8.733
0,-0.043841675211008325,-0.5465961439567538,0.021287086967158537,-1.0994607982186986,1.1013307932794,1.114708648024155,1.492515399441406,1,5.453,6.457,5.476
0,0.1349460048350962,-0.6013290768673064,0.4269097034068558,0.7247887832528711,1.1908327506514367,1.176944192311802,1.679584959019726,1,5.074,4.832,5.378
0,1.9568776014953992,0.13125017901239708,0.45588274743826274,1.0118650496788046,1.7538698867436084,1.7059463187568027,1.458079709369775,1,22.252,23.637,23.856
0,0.1434597038849107,-0.6264150044513096,0.39793665937544886,-0.45439699636919056,0.9483522703952815,0.918320930494246,0.3896426228229522,1,5.493,5.26,5.779
0,2.2889118644381647,-0.19089055539383587,0.16615230712419327,0.24327839215598657,0.9166139876392397,0.877522073683455,0.7563361873695099,1,12.257,12.385,14.233
0,0.2541377915324992,0.8673964315881942,1.0932897161292157,0.7167826722370084,1.8890749712843442,1.8421730101419858,2.3068729349191677,1,3.651,3.322,3.371
0,-0.3333074429047013,-0.12826344946733823,-0.35536248544113175,0.5955472768539448,-0.9324583657277241,-0.9369897953252796,-0.936596792097973,1,2.758,2.652,2.515
0,-0.39290333625340285,-0.5091719163256068,-0.5002277055981665,-1.1509286547492446,-0.5712767079639746,-0.585013217076253,-0.6443587736522393,1,2.643,2.279,2.621
0,-0.10343756855970983,-0.601913830424043,0.021287086967158537,0.8734737021188924,-0.53699936258745,-0.5359162876937756,-0.622022109821992,1,3.994,3.825,4.018
