,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,4311796,adam-p/markdown-here,JavaScript,18,16027,11,2331,1.261,4.0623
0,54346799,public-apis/public-apis,Python,1867,5088,428,2186,4.242,12.263
0,126577260,trekhleb/javascript-algorithms,JavaScript,119,13363,191,1843,1.683,9.95
0,231283452,excalidraw/excalidraw,TypeScript,3239,46904,267,1493,6.03,46.352
0,163883279,nektos/act,Go,853,9617,172,1860,4.373,15.427
0,135786093,typescript-cheatsheets/react,JavaScript,146,3076,178,811,4.323,3.838
0,137078487,vuejs/core,TypeScript,1633,26496,437,1313,7.708,32.109
0,133251103,wagoodman/dive,Go,131,6671,53,1879,3.617,12.146
0,419347358,PKUFlyingPig/cs-self-learning,HTML,219,43817,110,828,3.295,12.4474
0,65388917,jakevdp/PythonDataScienceHandbook,Jupyter Notebook,28,43642,15,750,1.511,4.497
0,11551538,koajs/koa,JavaScript,422,3651,211,3832,3.734,14.839
0,14370955,sahat/hackathon-starter,JavaScript,319,13960,182,3636,2.305,8.792
0,94498635,carbon-app/carbon,JavaScript,471,20275,175,1094,3.06,33.312
0,313330998,bradtraversy/50projects50days,CSS,39,498,34,671,1.894,6.261
0,52773157,typeorm/typeorm,TypeScript,1879,27216,431,2894,4.344,6.265
0,11167738,gulpjs/gulp,JavaScript,352,1088,220,3455,5.325,6.988
0,110211147,xkcoding/spring-boot-demo,Java,4,14194,11,653,1.665,1.86
0,97533102,halfrost/LeetCode-Go,Go,172,19274,44,2089,2.173,14.099
0,170326929,goabstract/Awesome-Design-Tools,JavaScript,283,19220,214,594,8.496,21.01
0,1129010,blueimp/jQuery-File-Upload,PHP,116,4767,84,3950,2.288,4.608
0,13886476,zsh-users/zsh-autosuggestions,Shell,59,598,48,3599,3.971,5.424
0,29891188,standard/standard,JavaScript,412,3638,169,3283,3.309,12.047
0,101782647,facebookresearch/fairseq,Python,65,25756,298,617,4.819,7.223
0,245704608,colinhacks/zod,TypeScript,349,4926,261,1427,3.137,5.557
0,61412022,ianstormtaylor/slate,TypeScript,1199,22816,460,1748,5.649,12.51
0,15308499,SortableJS/Sortable,JavaScript,150,2576,137,3593,3.724,7.525
0,23736449,VincentGarreau/particles.js,JavaScript,17,158,12,458,1.741,3.151
0,952189,jashkenas/backbone,JavaScript,845,27306,288,4876,5.168,11.985
0,13078968,postcss/postcss,TypeScript,554,10535,372,2617,1.85,8.963
0,541269386,ggerganov/whisper.cpp,C,409,10718,239,491,2.105,18.116
0,2579314,fzaninotto/Faker,PHP,774,10094,386,3300,7.517,24.857
0,307489284,remix-run/remix,TypeScript,3,43403,468,359,7.567,1.6
0,74260508,docsifyjs/docsify,JavaScript,230,30479,172,2406,5.028,8.343
0,302603001,qier222/YesPlayMusic,Vue,234,48682,55,1050,4.127,9.55
0,63484632,facebookresearch/fastText,HTML,7,8311,53,34,4.331,2.178
0,94061307,vadimdemedes/ink,TypeScript,196,1538,95,2343,2.618,8.501
0,172521926,pmndrs/react-three-fiber,TypeScript,462,24140,192,1801,3.816,4.75
0,103784142,MonitorControl/MonitorControl,Swift,146,29834,70,1522,3.996,8.275
0,211124697,deezer/spleeter,Python,49,9615,14,1287,3.216,6.668
0,4307108,nsqio/nsq,Go,656,14138,110,4245,2.741,29.423
0,23069399,mdbootstrap/mdb-ui-kit,SCSS,161,49595,95,2208,2.482,6.714
0,3602123,hammerjs/hammer.js,JavaScript,101,10221,78,2643,2.08,2.458
0,995750,VundleVim/Vundle.vim,Vim Script,81,940,57,4688,2.944,7.357
0,67836789,tokio-rs/tokio,Rust,2909,12966,442,2704,7.539,71.534
0,308770,heartcombo/devise,Ruby,723,5846,377,4403,8.041,18.833
0,64700934,OpenZeppelin/openzeppelin-contracts,JavaScript,1898,38999,400,2744,6.425,46.063
0,669686044,karpathy/llama2.c,C,120,1183,74,78,2.286,8.949
0,66156850,TheAlgorithms/Go,Go,342,2402,161,2716,5.624,25.027
0,41179827,Rapptz/discord.py,Python,1217,20271,358,3080,3.746,27.14
0,122775780,psf/requests-html,Python,74,2981,59,1863,1.692,5.792
0,14681876,codelucas/newspaper,Python,144,18349,86,2404,1.767,6.565
0,30136107,pandao/editor.md,JavaScript,19,16106,19,1553,1.733,3.476
0,131789494,wuyouzhuguli/SpringAll,Java,1,1069,2,566,1.0,0.8
0,88876034,TKkk-iOSer/WeChatPlugin-MacOS,Objective-C,6,25525,6,632,1.259,3.129
0,8538132,designmodo/Flat-UI,JavaScript,34,36190,28,1708,2.9,3.022
0,14164618,tree-sitter/tree-sitter,Rust,734,15546,193,3745,4.463,12.366
0,71551629,carloscuesta/gitmoji,TypeScript,956,7267,101,2659,5.453,15.507
0,77419377,bcicen/ctop,Go,73,3616,40,2043,2.018,14.08
0,213460285,jasontaylordev/CleanArchitecture,C#,43,3734,64,412,1.447,5.773
0,887025,kriskowal/q,JavaScript,87,1428,71,4029,4.261,6.941
0,40772809,adonisjs/core,TypeScript,6,5826,58,1838,2.099,2.877
0,144624857,checkly/headless-recorder,JavaScript,59,12114,21,1162,2.209,2.37
0,51356720,gpujs/gpu.js,JavaScript,22,20529,45,2239,1.822,3.901
0,2609642,feathersjs/feathers,TypeScript,359,36303,229,3211,2.282,14.744
0,43797718,acdlite/recompose,JavaScript,246,1325,97,1153,3.579,13.354
0,141910081,faressoft/terminalizer,JavaScript,23,3991,8,1819,1.886,2.307
0,88760614,automerge/automerge-classic,JavaScript,93,4047,60,1117,4.082,7.617
0,193885464,woltapp/blurhash,C,80,12240,63,1680,3.428,3.906
0,34275705,redox-os/redox,Shell,532,8027,82,1138,4.748,22.702
0,179152420,wistbean/learn_python3_spider,Python,7,22644,8,1067,1.247,2.102
0,119190187,gitleaks/gitleaks,Go,453,5200,153,2196,5.61,11.432
0,48764652,react-native-maps/react-native-maps,Objective-C,777,7134,424,2958,9.234,17.609
0,465303307,samber/lo,Go,132,2995,82,640,3.492,23.695
0,11323319,erusev/parsedown,PHP,113,1490,39,2386,2.885,13.178
0,931039,browserify/browserify,JavaScript,225,2495,170,4204,8.898,16.43
0,172227885,tiangolo/full-stack-fastapi-postgresql,TypeScript,77,953,21,1804,2.202,5.319
0,6207167,mockito/mockito,Java,249,48867,280,2207,6.725,8.411
0,62607227,yangshun/tech-interview-handbook,TypeScript,181,31488,153,2265,3.417,16.069
