,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,crossoverJie/JCSprout,Java,69,1188,23,478,7331.661000000001,6675.0,7627.999999999999,4611.25,7265.900000000001,5497.8
0,shuzheng/zheng,Java,10,41267,8,485,1345.986,1336.0,1379.6,986.25,1539.5000000000002,1177.8
0,winterbe/java8-tutorial,Java,10,149,11,1248,1518.48,1383.0,1522.6999999999998,22.25,28.8,23.9
0,justauth/JustAuth,Java,25,9554,34,1284,1720.611,1622.9,1455.85,371.75,557.5,437.2
0,mockito/mockito,Java,249,48812,281,2207,17675.973,16509.9,15951.349999999999,17422.0,24194.9,18459.7
0,lgvalle/Material-Animations,Java,12,8692,8,433,1358.973,1231.6,1384.6999999999998,1063.0,1539.4,1157.3999999999999
0,facebookarchive/stetho,Java,244,2353,49,2266,40056.237,36133.5,41416.35,10910.25,16099.800000000001,12300.9
0,daimajia/AndroidSwipeLayout,Java,22,399,16,1050,22325.652,20129.2,15632.0,1149.0,1632.7,1213.8999999999999
0,pagehelper/Mybatis-PageHelper,Java,37,5240,36,3521,1980.6840000000002,1851.6999999999998,1857.95,543.75,815.2,630.5
0,vuejs/vue,TypeScript,5,32405,356,659,83679.23700000001,75742.7,81570.75,12.25,15.700000000000001,13.2
0,jhy/jsoup,Java,278,5023,97,5129,5664.996,5295.3,5112.75,5994.25,8723.1,6694.6
0,xkcoding/spring-boot-demo,Java,4,14194,11,653,897.768,882.0999999999999,940.7499999999999,287.0,451.3,344.5
0,gyoogle/tech-interview-for-developer,Java,134,6723,70,1709,9268.389,8394.0,5092.5,2415.5,3325.1,2474.9
0,yangshun/tech-interview-handbook,TypeScript,181,31483,153,2265,10185.804,9303.0,9447.5,743.25,1018.2,807.3
0,gothinkster/realworld,TypeScript,184,34974,80,1943,8062.263000000001,7351.9,7178.75,2367.25,3347.0,2494.9
0,nvbn/thefuck,Python,481,4043,169,3214,17720.928,16124.1,15033.349999999999,7039.75,9776.4,7690.5
0,airbnb/javascript,JavaScript,790,3616,406,4104,50769.846000000005,45911.399999999994,45474.7,5573.75,7783.6,6013.3
0,Textualize/rich,Python,733,49182,225,1570,38507.121,35065.1,34721.15,23951.75,34601.3,26337.4
0,psf/black,Python,573,6734,418,1150,44009.28,39828.4,36768.6,15858.5,22445.600000000002,16697.4
0,mingrammer/diagrams,Python,246,48933,136,1432,9941.049,9009.0,7651.799999999999,18140.25,25200.3,18978.2
0,avelino/awesome-go,Go,2557,10058,429,2719,72667.59300000001,65707.0,69349.4,4058.75,4785.7,4217.8
0,TooTallNate/Java-WebSocket,Java,291,4148,71,5147,4294.701,3978.2,4136.2,31629.75,45101.6,33229.3
0,liaohuqiu/android-Ultra-Pull-To-Refresh,Java,18,3474,8,537,4572.756,4137.6,4644.0,1325.0,2019.3000000000002,1557.3
0,crossoverJie/cim,Java,22,32060,7,847,2178.486,1997.0,2277.9,4135.0,6134.7,4638.7
0,zfile-dev/zfile,Java,4,46370,5,987,382.95,408.09999999999997,466.75,207.0,324.5,248.5
0,ybq/Android-SpinKit,Java,12,10241,10,943,666.999,607.6999999999999,437.84999999999997,196.25,263.7,210.0
0,karatelabs/karate,Java,35,26093,94,2540,4055.6070000000004,4080.1,4151.85,101.0,132.5,113.7
0,excalidraw/excalidraw,TypeScript,3256,47290,269,1519,30326.643,27657.0,28097.399999999998,250183.0,352237.0,258905.0
0,geekcomputers/Python,Python,1276,36576,408,4476,16505.811,15189.4,14038.599999999999,177017.5,271164.8,201509.8
0,ggerganov/llama.cpp,C++,1886,23023,479,358,34129.836,30971.1,30024.85,138854.75,204593.2,151107.3
0,gin-gonic/gin,Go,839,3123,387,3534,48600.018000000004,43951.4,36141.9,14859.75,20585.5,15485.6
0,vitejs/vite,TypeScript,272,34512,444,249,127899.30600000001,115830.2,126279.29999999999,3134.25,4314.6,3329.7
0,expressjs/express,JavaScript,227,9151,276,5360,63531.07200000001,57800.5,61708.75,11136.75,15840.500000000002,11801.8
0,adam-p/markdown-here,JavaScript,18,16027,11,2331,3596.067,3320.2000000000003,3008.0,10768.25,15100.5,11011.199999999999
0,junegunn/fzf,Go,429,5477,233,3771,22980.663,20960.2,20281.6,6160.25,8848.9,6719.2
0,facebookresearch/fairseq,Python,65,25793,296,617,23263.713,21150.3,19704.75,7066.5,10309.6,7703.0
0,deezer/spleeter,Python,49,9615,14,1287,383.949,375.0,362.59999999999997,5057.75,7099.0,5215.1
0,keon/algorithms,Python,430,1468,184,2636,10026.963,9117.8,8199.4,12240.0,17461.600000000002,13358.8
0,nektos/act,Go,862,9665,172,1880,19691.955,17834.899999999998,16487.85,320605.25,498181.9,372588.6
0,wagoodman/dive,Go,131,6671,53,1879,6829.164000000001,6199.4,5940.5,6902.25,9864.800000000001,7385.5
0,sebastianruder/NLP-progress,Python,467,1354,277,2001,15028.29,13611.8,13894.9,3293.5,4548.7,3495.3
0,evanw/esbuild,Go,201,17338,103,2363,65532.069,59441.6,66285.09999999999,12421.75,18143.7,13554.6
0,reduxjs/redux,TypeScript,1472,29076,422,3168,90429.81300000001,81792.9,87730.45,203174.0,289373.2,210140.0
0,drduh/macOS-Security-and-Privacy-Guide,Python,149,1617,84,3100,7128.8640000000005,6481.8,6321.9,1461.75,2098.2000000000003,1575.5
0,chriskiehl/Gooey,Python,82,4269,82,3048,5910.75,5393.799999999999,4545.299999999999,890.5,1186.4,904.2
