Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,kdn251/interviews,Java,40.0,24091.0,28.0,564,2.02,1.985,1.902,2.271,2.389,2.377
0,crossoverJie/JCSprout,Java,69.0,1188.0,23.0,478,3.172,2.96,2.07,3.39,3.318,2.749
0,linlinjava/litemall,Java,96.0,24595.0,60.0,1955,4.279,3.977,3.149,4.006,3.668,3.544
0,winterbe/java8-tutorial,Java,10.0,149.0,11.0,1248,2.217,2.098,1.655,3.281,2.569,3.257
0,justauth/JustAuth,Java,25.0,9554.0,34.0,1284,1.928,1.85,1.617,4.867,4.833,5.186
0,YunaiV/yudao-cloud,Java,10.0,37802.0,45.0,1605,1.979,1.907,1.53,1.361,1.285,1.307
0,vuejs/vue,TypeScript,5.0,32405.0,356.0,659,4.385,4.074,2.844,1.722,1.806,1.517
0,mockito/mockito,Java,249.0,48812.0,281.0,2207,9.497,8.743,6.64,5.298,5.239,6.151
0,lgvalle/Material-Animations,Java,12.0,8692.0,8.0,433,1.872,1.786,1.507,1.823,1.737,1.761
0,gyoogle/tech-interview-for-developer,Java,134.0,6723.0,70.0,1709,2.669,2.548,2.801,3.114,3.516,2.799
0,sqshq/piggymetrics,Java,22.0,1512.0,13.0,2123,1.317,1.307,1.363,1.833,1.862,1.921
0,yangshun/tech-interview-handbook,TypeScript,181.0,31486.0,154.0,2265,5.232,4.892,3.425,9.954,11.16,8.734
0,pagehelper/Mybatis-PageHelper,Java,37.0,5240.0,36.0,3521,2.665,2.51,1.862,4.336,3.703,4.968
0,adam-p/markdown-here,JavaScript,18.0,16027.0,11.0,2331,1.271,1.246,1.264,2.543,2.192,2.835
0,shuzheng/zheng,Java,10.0,41267.0,8.0,485,1.159,1.145,1.084,1.753,1.67,1.502
0,magic-wormhole/magic-wormhole,Python,146.0,3237.0,53.0,3275,2.421,2.301,1.819,8.415,7.146,7.788
0,gothinkster/realworld,TypeScript,184.0,34974.0,80.0,1943,6.189,5.854,4.846,4.816,4.815,4.302
0,geerlingguy/ansible-for-devops,Python,40.0,490.0,26.0,3341,3.011,2.816,1.947,3.563,3.6,3.556
0,facebookarchive/stetho,Java,244.0,2353.0,49.0,2266,2.722,2.625,2.179,6.696,6.785,5.885
0,daimajia/AndroidSwipeLayout,Java,22.0,399.0,16.0,1050,1.157,1.176,1.212,2.665,2.707,2.827
0,crazyguitar/pysheeet,Python,276.0,1150.0,37.0,2850,1.69,1.645,1.543,2.356,2.332,2.048
0,conan-io/conan,Python,67.0,28904.0,364.0,1559,12.770090408345814,11.877419141587875,9.044551169192511,6.589,6.519,6.875
0,qqwweee/keras-yolo3,Python,9.0,148.0,7.0,118,1.597,1.56,1.409,3.081,2.672,3.44
0,impress/impress.js,JavaScript,106.0,4792.0,82.0,4445,3.66,3.452,3.345,3.307,3.261,2.947
0,icloud-photos-downloader/icloud_photos_downloader,Python,199.0,36200.0,31.0,2819,1.711,1.807,1.942,5.913,4.361,6.357
0,reorx/httpstat,Python,9.0,355.0,6.0,2477,1.616,1.556,1.353,2.653,2.903,2.642
0,goabstract/Awesome-Design-Tools,JavaScript,283.0,19220.0,214.0,594,12.770090408345814,11.877419141587875,8.454,13.106,10.443,8.001
0,keras-rl/keras-rl,Python,83.0,1414.0,32.0,1227,4.042,3.787,3.566,5.542,5.473,5.88
0,PeterDing/iScript,Python,5.0,1142.0,5.0,1199,1.265,1.24,1.278,1.441,1.399,1.223
0,Lyken17/pytorch-OpCounter,Python,19.0,177.0,17.0,1685,2.56,2.442,2.266,2.796,2.71,2.891
0,jcjohnson/pytorch-examples,Python,5.0,63.0,5.0,889,1.506,1.457,1.271,1.003,1.005,1.003
0,rawandahmad698/PyChatGPT,Python,11.0,104.0,10.0,6,1.453,1.428,1.457,2.611,2.044,3.2
0,vuejs/vue-cli,JavaScript,171.0,30935.0,432.90146429063736,2132,6.042,5.655,3.909,5.28,3.693,6.088
0,IDSIA/sacred,Python,292.0,6119.0,94.0,3513,7.009,6.45,4.329,6.324,5.407,5.177
0,KaiyangZhou/deep-person-reid,Python,17.0,9804.0,12.0,1794,1.626,1.581,1.522,2.207,2.085,2.042
0,Chakazul/Lenia,Python,7.0,41430.0,7.0,1326,1.091,1.083,1.082,2.129,2.073,1.755
