Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,kdn251/interviews,Java,40,24091,28,564,2.02,1.985,1.902,2.271,2.389,2.377
0,crossoverJie/JCSprout,Java,69,1188,23,478,3.172,2.96,2.07,3.39,3.318,2.749
0,linlinjava/litemall,Java,96,24595,60,1955,4.279,3.977,3.149,4.006,3.668,3.544
0,winterbe/java8-tutorial,Java,10,149,11,1248,2.217,2.098,1.655,3.281,2.569,3.257
0,justauth/JustAuth,Java,25,9554,34,1284,1.928,1.85,1.617,4.867,4.833,5.186
0,YunaiV/yudao-cloud,Java,10,37802,45,1605,1.979,1.907,1.53,1.361,1.285,1.307
0,vuejs/vue,TypeScript,5,32405,356,659,4.385,4.074,2.844,1.722,1.806,1.517
0,mockito/mockito,Java,249,48812,281,2207,9.497,8.743,6.64,5.298,5.239,6.151
0,lgvalle/Material-Animations,Java,12,8692,8,433,1.872,1.786,1.507,1.823,1.737,1.761
0,gyoogle/tech-interview-for-developer,Java,134,6723,70,1709,2.669,2.548,2.801,3.114,3.516,2.799
0,sqshq/piggymetrics,Java,22,1512,13,2123,1.317,1.307,1.363,1.833,1.862,1.921
0,yangshun/tech-interview-handbook,TypeScript,181,31486,154,2265,5.232,4.892,3.425,9.954,11.16,8.734
0,pagehelper/Mybatis-PageHelper,Java,37,5240,36,3521,2.665,2.51,1.862,4.336,3.703,4.968
0,adam-p/markdown-here,JavaScript,18,16027,11,2331,1.271,1.246,1.264,2.543,2.192,2.835
0,shuzheng/zheng,Java,10,41267,8,485,1.159,1.145,1.084,1.753,1.67,1.502
0,magic-wormhole/magic-wormhole,Python,146,3237,53,3275,2.421,2.301,1.819,8.415,7.146,7.788
0,gothinkster/realworld,TypeScript,184,34974,80,1943,6.189,5.854,4.846,4.816,4.815,4.302
0,geerlingguy/ansible-for-devops,Python,40,490,26,3341,3.011,2.816,1.947,3.563,3.6,3.556
0,facebookarchive/stetho,Java,244,2353,49,2266,2.722,2.625,2.179,6.696,6.785,5.885
0,daimajia/AndroidSwipeLayout,Java,22,399,16,1050,1.157,1.176,1.212,2.665,2.707,2.827
0,crazyguitar/pysheeet,Python,276,1150,37,2850,1.69,1.645,1.543,2.356,2.332,2.048
0,qqwweee/keras-yolo3,Python,9,148,7,118,1.597,1.56,1.409,3.081,2.672,3.44
0,impress/impress.js,JavaScript,106,4792,82,4445,3.66,3.452,3.345,3.307,3.261,2.947
0,icloud-photos-downloader/icloud_photos_downloader,Python,199,36200,31,2819,1.711,1.807,1.942,5.913,4.361,6.357
0,reorx/httpstat,Python,9,355,6,2477,1.616,1.556,1.353,2.653,2.903,2.642
0,keras-rl/keras-rl,Python,83,1414,32,1227,4.042,3.787,3.566,5.542,5.473,5.88
0,PeterDing/iScript,Python,5,1142,5,1199,1.265,1.24,1.278,1.441,1.399,1.223
0,Lyken17/pytorch-OpCounter,Python,19,177,17,1685,2.56,2.442,2.266,2.796,2.71,2.891
0,jcjohnson/pytorch-examples,Python,5,63,5,889,1.506,1.457,1.271,1.003,1.005,1.003
0,rawandahmad698/PyChatGPT,Python,11,104,10,6,1.453,1.428,1.457,2.611,2.044,3.2
0,IDSIA/sacred,Python,292,6119,94,3513,7.009,6.45,4.329,6.324,5.407,5.177
0,KaiyangZhou/deep-person-reid,Python,17,9804,12,1794,1.626,1.581,1.522,2.207,2.085,2.042
0,Chakazul/Lenia,Python,7,41430,7,1326,1.091,1.083,1.082,2.129,2.073,1.755
0,ktbyers/netmiko,Python,105,8200,179,3275,3.37,3.154,2.575,7.933,5.926,8.425
0,jsvine/markovify,Python,85,536,56,3013,2.692,2.546,2.231,4.233,3.403,4.016
0,spadgos/sublime-jsdocs,Python,9,1339,26,691,2.311,2.193,1.796,2.251,2.104,1.804
0,react-boilerplate/react-boilerplate,JavaScript,223,8943,183,1544,4.035,3.829,3.738,5.585,4.845,5.124
0,evyatarmeged/Raccoon,Python,9,914,7,1337,1.358,1.325,1.314,2.627,2.237,2.652
0,avinashpaliwal/Super-SloMo,Python,8,27529,7,693,1.363,1.354,1.333,1.783,1.536,2.023
0,keithito/tacotron,Python,21,113,10,625,1.313,1.288,1.32,1.899,1.878,1.842
0,vipstone/faceai,Python,9,40473,4,141,1.29,1.268,1.177,1.444,1.409,1.288
0,xmu-xiaoma666/External-Attention-pytorch,Python,30,5699,5,644,1.425,1.423,1.369,5.489,4.767,7.238
0,chiphuyen/stanford-tensorflow-tutorials,Python,2,14037,2,519,0.999,1.0,1.0,1.0,1.0,1.0
0,soxoj/maigret,Python,5,5588,29,84,2.971,2.852,2.587,1.691,1.757,1.721
0,jhy/jsoup,Java,278,5023,97,5129,7.189,6.59,4.142,8.749,7.839,9.714
0,TooTallNate/Java-WebSocket,Java,291,4148,71,5147,3.528,3.382,2.607,7.12,5.774,6.782
0,liaohuqiu/android-Ultra-Pull-To-Refresh,Java,18,3474,8,537,1.374,1.342,1.286,2.837,2.895,2.929
0,ssssssss-team/spider-flow,Java,9,3382,18,941,1.753,1.72,1.487,1.99,1.848,1.452
0,ybq/Android-SpinKit,Java,12,10241,10,943,1.482,1.481,1.518,2.519,2.652,2.756
0,microsoft/calculator,C++,626,36948,90,1231,3.602,3.793,3.951,12.397,10.44,11.762
0,webtorrent/webtorrent,JavaScript,812,29199,161,3793,1.679,1.661,1.645,8.954,8.797,9.004
0,LonamiWebs/Telethon,Python,310,8978,154,2091,7.864,7.194,5.878,6.992,5.919,6.538
0,qubvel/segmentation_models.pytorch,Python,103,6235,46,1647,3.847,3.575,2.564,5.649,5.204,5.004
0,MorvanZhou/Reinforcement-learning-with-tensorflow,Python,8,438,6,1910,1.675,1.612,1.315,2.083,1.976,1.81
0,software-mansion/react-native-svg,Java,187,20405,191,2235,3.638,3.464,3.322,3.055,2.611,3.33
0,hardikvasa/google-images-download,Python,40,260,31,1494,3.329,3.132,2.498,3.183,3.123,2.464
0,cmderdev/cmder,C++,291,3096,123,3864,4.26,4.2,4.769,7.431,7.703,8.496
0,kenwheeler/slick,JavaScript,235,3714,132,3018,4.563,4.269,3.143,10.232,10.526,11.176
0,changkun/modern-cpp-tutorial,C++,107,39501,73,2451,4.737,4.382,2.984,3.551,3.427,3.418
0,pypa/pipx,Python,281,3587,129,1049,4.388,4.264,4.112,12.031,8.726,14.249
0,jadore801120/attention-is-all-you-need-pytorch,Python,5,166,6,1330,1.43,1.421,1.348,1.026,1.036,1.026
0,joelgrus/data-science-from-scratch,Python,8,769,6,2050,1.433,1.391,1.433,2.413,2.435,1.87
0,jiaaro/pydub,Python,127,36944,75,4177,1.896,1.85,1.711,9.775,9.259,11.127
0,baowenbo/DAIN,Python,12,288,8,1424,2.091,2.019,1.8,1.62,1.729,1.604
0,MonitorControl/MonitorControl,Swift,146,29842,70,1522,3.686,3.707,4.05,5.286,4.15,6.182
0,react-native-video/react-native-video,Java,550,17202,250,3261,9.09,8.541,6.899,8.505,6.386,8.642
0,sshahine/JFoenix,Java,117,28243,61,2196,3.203,3.098,3.47,3.92,3.45,3.138
0,microsoft/winget-cli,C++,1037,36281,97,1689,2.715,2.765,2.763,15.633,11.392,14.716
0,prolificinteractive/material-calendarview,Java,81,4823,34,1443,2.277,2.22,2.419,3.244,2.767,3.173
0,daimajia/AndroidImageSlider,Java,16,2165,13,356,1.049,1.052,1.058,2.83,2.97,2.738
0,ReactiveX/RxSwift,Swift,20,16233,336,1988,6.471,6.002,5.625,1.811,2.087,1.763
0,crazycodeboy/react-native-splash-screen,Java,48,3912,40,1909,3.195,2.993,2.161,6.828,7.841,7.243
